int(self),self.no_transporter,self.disturbance_cycle,tdi,self.cycle,mean_cyc_to_deliver,mean(t_avgs),mean(self.residue),self.anticipation_increase,self.setup_file,self.item_file
0,12,100,50,1206,131,57.6127314814815,0.340277777777778,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
1,12,100,50,1107,109.26,53.0917658730159,0.356060606060606,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
2,12,100,50,1294,144.68,64.645646945647,0.32051282051282,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
3,12,100,50,1180,94.96,53.2354256854257,0.21969696969697,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
4,12,100,50,1023,96.8,51.8984788359788,0.158333333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
5,12,100,50,1310,110.26,51.2108796296296,0.358974358974359,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
6,12,100,50,1166,114.08,47.2781746031746,0.295454545454545,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
7,12,100,50,1097,118.36,57.4676256613757,0.257575757575758,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
8,12,100,50,1048,92.78,50.8988095238095,0.233333333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
9,12,100,50,915,77.08,49.6458333333333,0.027777777777778,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
10,12,100,50,1087,107.24,53.930291005291,0.175,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
11,12,100,50,1220,120.08,49.4604497354497,0.305555555555555,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
12,12,150,50,1215,111.6,79.3214285714286,0.0625,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
13,12,150,50,851,74.08,51.2791666666667,0.033333333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
14,12,150,50,1018,90.3,73.0638888888889,0.152777777777778,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
15,12,150,50,885,84.96,70.8541666666667,0.016666666666667,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
16,12,150,50,1042,80.96,50.5361111111111,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
17,12,150,50,1153,125.36,79.0670634920635,0.130952380952381,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
18,12,150,50,1168,121.14,72.6402777777778,0.321428571428571,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
19,12,150,50,1050,99.44,69.9236111111111,0.083333333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
20,12,150,50,1013,80.54,55.8722222222222,0.069444444444445,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
21,12,150,50,1065,120.7,75.5166666666667,0.023809523809524,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
22,12,150,50,896,82.6,59.2833333333333,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
23,12,150,50,1011,95.58,76.2111111111111,0.083333333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
24,12,200,50,1000,105.16,60.4791666666667,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
25,12,200,50,838,74.98,53.75,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
26,12,200,50,992,72.26,44.1736111111111,0.020833333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
27,12,200,50,950,82.3,60.4375,0.020833333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
28,12,200,50,783,76.18,50.8333333333333,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
29,12,200,50,884,78.44,47.0833333333333,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
30,12,200,50,821,81.46,58.6805555555556,0.020833333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
31,12,200,50,810,72.48,35.4722222222222,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
32,12,200,50,941,92.24,83.6666666666667,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
33,12,200,50,916,76.32,90.4444444444444,0.020833333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
34,12,200,50,927,77.44,56.0069444444444,0.020833333333333,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
35,12,200,50,999,103.64,75.7361111111111,0.016666666666667,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
36,12,250,50,863,73.8,47.0277777777778,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
37,12,250,50,920,77.36,62.4722222222222,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
38,12,250,50,806,72.34,59.9722222222222,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
39,12,250,50,923,78.38,60.8333333333333,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
40,12,250,50,863,73.1,57.3611111111111,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
41,12,250,50,940,76.26,75.375,0.027777777777778,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
42,12,250,50,955,85.38,88.8888888888889,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
43,12,250,50,969,78.72,86.6388888888889,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
44,12,250,50,932,75.84,54.75,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
45,12,250,50,910,91.34,51.2777777777778,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
46,12,250,50,984,67.38,78.6666666666667,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
47,12,250,50,883,89.02,85.1944444444444,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
48,12,300,50,781,68.24,54,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
49,12,300,50,795,64.74,79.375,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
50,12,300,50,892,69.5,72.9583333333333,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
51,12,300,50,863,69.22,47.4166666666667,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
52,12,300,50,868,72.24,50.75,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
53,12,300,50,829,62.74,58.75,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
54,12,300,50,867,74.72,64.8333333333333,0,0.01,../includes/setup_smartphone.csv,../includes/orderedItems50.csv
